Date,Carnation,Normandy Park,Sammamish,Covington,Kent,Issaquah,Renton,Bothell,Kirkland,Federal Way,Shoreline,SeaTac,Beaux Arts Village,Medina,Algona,Black Diamond,Newcastle,Snoqualmie,Yarrow Point,Milton,Duvall,Enumclaw,North Bend,Burien  ,Tukwila,Lake Forest Park,Clyde Hill,Mercer Island,Bellevue,Woodinville,Redmond,Hunts Point,Maple Valley,Kenmore,Pacific,Auburn,Skykomish,Des Moines,Seattle
2016-12-19,0,0,6,6,74,11,45,17,29,52,15,24,0,1,3,0,2,1,0,0,0,5,3,17,40,1,0,6,37,4,13,0,2,6,6,31,0,6,257
2016-12-26,0,2,8,2,57,10,40,10,14,40,9,25,0,0,2,0,3,0,0,0,0,0,3,14,32,2,0,3,39,2,12,0,0,5,3,28,0,8,200
2017-01-02,0,1,4,4,63,15,34,11,24,32,14,20,0,0,1,0,3,0,1,0,0,1,3,21,30,4,0,5,55,6,15,0,3,5,2,24,0,2,215
2017-01-09,2,0,7,5,57,9,47,18,27,42,14,25,0,0,2,1,2,0,0,1,2,1,0,19,25,6,0,10,60,8,24,1,4,5,0,41,0,4,237
2017-01-16,0,2,4,4,58,7,24,13,30,38,12,18,0,0,1,0,3,0,0,2,1,1,0,17,31,2,0,6,43,7,21,0,1,3,1,22,0,5,223
2017-01-23,0,0,3,5,57,11,37,10,17,32,14,22,0,0,1,0,2,3,0,3,0,2,1,8,22,5,1,5,52,3,23,0,4,3,2,29,0,5,218
2017-01-30,0,0,8,4,68,9,45,19,25,42,16,35,0,0,1,2,5,4,0,1,1,0,3,19,32,6,1,5,58,2,17,0,9,5,4,32,0,7,282
2017-02-06,0,3,2,3,62,8,42,14,35,40,15,21,0,1,2,0,2,1,1,1,0,3,2,13,23,4,0,6,70,5,15,0,2,4,1,31,0,2,219
2017-02-13,2,1,4,7,77,6,45,16,33,45,21,32,0,0,1,0,1,1,0,1,0,0,1,14,28,0,0,9,66,8,16,0,5,3,0,38,0,5,253
2017-02-20,0,1,5,11,59,3,49,5,25,40,14,23,0,0,1,0,2,0,0,1,0,1,2,14,14,3,0,4,40,4,16,0,10,5,2,20,0,5,205
2017-02-27,0,0,14,3,66,7,36,7,41,44,21,32,0,0,0,0,1,0,1,0,0,1,2,14,36,3,0,6,55,2,27,0,5,6,3,25,0,7,246
2017-03-06,0,2,4,2,64,11,46,10,29,45,12,30,0,0,2,0,1,2,0,0,0,2,1,19,35,3,0,6,43,6,23,0,4,3,4,34,0,5,242
2017-03-13,1,1,8,3,78,14,49,13,32,45,21,28,0,0,2,0,0,3,0,1,0,3,1,19,38,4,0,9,74,5,15,0,1,8,2,33,0,2,271
2017-03-20,0,1,10,6,55,14,47,12,28,54,18,28,0,0,1,2,1,1,0,1,0,2,3,16,35,3,0,3,50,5,18,0,4,5,4,24,0,3,258
2017-03-27,0,1,6,2,50,6,48,8,20,47,20,21,0,1,1,1,1,2,0,0,1,3,2,11,43,4,1,8,53,4,18,1,2,7,2,29,0,9,242
2017-04-03,0,0,5,4,67,5,40,13,21,44,17,20,0,0,0,0,2,1,0,3,1,2,1,18,32,5,0,3,39,5,14,0,3,4,1,37,0,9,248
2017-04-10,0,1,4,4,68,8,48,14,22,46,14,21,0,0,1,1,0,1,0,0,0,6,0,13,30,2,0,3,50,5,14,2,4,2,1,41,0,5,246
2017-04-17,0,2,6,6,65,5,58,10,26,43,14,36,0,0,3,0,3,1,0,2,1,2,0,16,40,1,0,4,47,3,17,0,5,5,2,38,0,5,261
2017-04-24,1,0,3,7,59,10,35,10,14,42,16,31,0,0,1,1,0,2,0,2,0,2,2,21,32,5,1,5,36,3,18,0,1,3,2,34,0,7,234
2017-05-01,1,1,5,10,64,13,45,6,27,43,15,20,0,0,2,1,3,1,0,1,1,2,0,13,39,4,0,6,59,9,14,0,3,1,2,44,0,7,229
2017-05-08,0,0,10,4,50,10,44,11,30,44,13,43,0,1,2,1,2,0,0,1,1,2,3,10,27,1,0,8,40,7,20,0,4,1,2,27,0,6,265
2017-05-15,0,0,5,9,55,7,35,11,27,41,29,16,0,0,2,2,0,2,0,0,2,1,2,14,25,4,1,6,63,5,21,0,6,6,1,28,1,8,242
2017-05-22,0,0,6,4,65,10,52,15,31,54,28,23,0,0,2,1,2,1,0,1,1,1,1,16,27,4,1,5,57,3,19,0,6,1,1,32,0,11,247
2017-05-29,0,0,3,6,52,10,42,7,19,32,16,28,0,1,1,0,5,2,0,2,1,1,2,10,22,2,0,3,43,3,10,1,4,0,1,20,0,6,185
2017-06-05,0,0,8,6,67,6,47,8,28,45,11,31,0,0,0,0,4,0,0,4,1,3,1,16,47,2,0,5,55,3,20,1,4,4,4,25,0,8,287
2017-06-12,0,1,5,7,70,12,50,8,23,56,23,28,0,0,1,2,1,0,0,2,1,4,1,10,37,3,0,6,62,6,16,0,3,4,4,39,0,3,282
2017-06-19,2,0,5,7,73,13,54,11,27,48,13,35,0,0,1,0,2,1,0,2,0,1,2,16,33,4,0,3,53,6,12,0,7,1,1,34,0,7,219
2017-06-26,0,2,1,2,49,8,34,11,21,47,21,21,0,0,3,1,1,0,0,1,1,3,1,15,29,3,1,10,56,4,12,0,2,6,3,26,0,9,245
2017-07-03,0,1,6,3,44,6,45,10,26,35,8,19,0,0,1,1,0,1,0,1,0,0,3,14,33,2,1,4,50,10,9,0,4,1,4,30,0,2,201
2017-07-10,0,0,6,4,71,16,44,7,26,49,20,21,0,0,2,0,0,0,0,1,1,2,2,9,29,3,0,8,55,11,18,0,1,2,1,35,0,5,273
